entry_ts,side,l1_px,l2_filled,avg_entry,exit_ts,exit_px,pnl_pct_pos,bars_held,reason
2026-05-13 21:15:00,LONG,79392.57534,False,79392.57534,2026-05-14 01:00:00,79641.28581434845,0.003427714285714486,45,TP
2026-05-14 01:05:00,LONG,79586.21406,True,79449.78055018286,2026-05-14 03:05:00,79092.87503628487,-0.014076645678305823,24,SL
2026-05-14 05:10:00,LONG,79383.57354,False,79383.57354,2026-05-14 05:30:00,79632.25581470964,0.0034277142857143646,4,TP
2026-05-14 07:20:00,LONG,79737.74436,True,79601.05108395428,2026-05-14 11:25:00,79243.46603026123,-0.014076645678305605,49,SL
2026-05-14 16:05:00,SHORT,81408.41506,False,81408.41506,2026-05-14 16:50:00,81153.28108720196,0.003429428571428533,9,TP
2026-05-14 16:55:00,SHORT,81822.93214,False,81822.93214,2026-05-14 17:15:00,81566.49907067325,0.0034294285714284887,4,TP
2026-05-14 17:20:00,SHORT,81378.32108000001,True,81517.82677328,2026-05-14 18:20:00,81904.37759999999,-0.014825753139681166,12,SL
2026-05-15 13:30:00,LONG,79699.9368,True,79563.30833691428,2026-05-15 13:40:00,79100.87666,-0.018036366834675955,2,SL
2026-05-15 15:45:00,LONG,79112.71938,False,79112.71938,2026-05-15 17:25:00,79360.55315891108,0.003427714285714303,20,TP
2026-05-16 04:05:00,LONG,79102.91742,True,78967.31241870856,2026-05-16 06:45:00,78537.08944000001,-0.01694434421779661,32,SL
2026-05-16 08:50:00,LONG,78394.47576,True,78260.08523012571,2026-05-16 09:15:00,77908.52408365892,-0.01407664567830516,5,SL
2026-05-17 01:45:00,LONG,77782.85346,False,77782.85346,2026-05-17 03:50:00,78026.52121227236,0.0034277142857143212,25,TP
2026-05-17 06:30:00,LONG,78078.91266,False,78078.91266,2026-05-17 10:10:00,78323.50786705957,0.0034277142857143976,44,TP
2026-05-17 11:35:00,LONG,78337.96446,True,78203.67080664,2026-05-17 14:15:00,77852.36308590537,-0.014076645678305202,32,SL
2026-05-17 21:05:00,LONG,78238.74462,True,78104.62105779428,2026-05-17 23:05:00,77753.75828984953,-0.014076645678306087,24,SL
2026-05-18 01:25:00,LONG,76871.57123999999,False,76871.57123999999,2026-05-18 01:55:00,77112.38424883784,0.0034277142857145034,6,TP
2026-05-18 02:00:00,LONG,77143.02552000001,True,77010.78033339429,2026-05-18 02:50:00,76664.83133340663,-0.014076645678305336,10,SL
2026-05-18 06:15:00,LONG,76805.55803999999,False,76805.55803999999,2026-05-18 08:00:00,77046.16425148664,0.0034277142857144687,21,TP
2026-05-18 13:50:00,LONG,77023.60164,True,76891.56118004571,2026-05-18 14:15:00,76546.14773815397,-0.014076645678305357,5,SL
2026-05-18 16:20:00,LONG,76476.89232,True,76345.78907602286,2026-05-18 17:05:00,76584.95498460169,0.008798000000000234,9,TP
2026-05-18 17:10:00,LONG,76543.8057,True,76412.58774737144,2026-05-18 19:00:00,76651.96291392138,0.00879800000000046,22,TP
2026-05-19 14:25:00,LONG,76438.08456,True,76307.04784361142,2026-05-19 15:10:00,76546.09238882284,0.008798000000000068,9,TP
2026-05-19 15:15:00,LONG,76537.8045,False,76537.8045,2026-05-19 16:45:00,76777.571928897,0.003427714285714304,18,TP
2026-05-21 00:40:00,SHORT,77684.46,True,77817.63336,2026-05-21 06:45:00,77573.75289704977,0.008802000000000039,73,TP
2026-05-21 18:00:00,SHORT,77651.36662,False,77651.36662,2026-05-21 18:50:00,77408.00723701293,0.0034294285714283404,10,TP
2026-05-21 19:15:00,SHORT,77549.48700000001,False,77549.48700000001,2026-05-22 01:00:00,77306.446907742,0.0034294285714285893,69,TP
2026-05-22 03:45:00,SHORT,77732.35042,False,77732.35042,2026-05-22 05:55:00,77488.73723378373,0.003429428571428453,26,TP
2026-05-22 15:05:00,LONG,76864.56984,True,76732.80200598856,2026-05-22 15:30:00,76973.18029707266,0.008798000000000115,5,TP
2026-05-22 19:35:00,LONG,75798.55668,False,75798.55668,2026-05-22 21:30:00,76036.00829189288,0.0034277142857144175,23,TP
2026-05-23 04:50:00,LONG,75497.19642000001,True,75367.77265470858,2026-05-23 07:45:00,74978.70126,-0.016086913610585573,35,SL
