year,n,win_rate,total_pct,avg_win,avg_loss
2021,340,58.82,-35.09,0.45,-0.9
2022,628,57.32,-112.16,0.42,-0.99
2023,376,57.18,-75.21,0.43,-1.05
2024,496,60.48,-71.59,0.46,-1.06
2025,525,62.29,-76.69,0.42,-1.09
2026,212,66.98,-12.5,0.43,-1.05
