entry_ts,side,l1_px,l2_filled,avg_entry,exit_ts,exit_px,pnl_pct_pos,bars_held,reason
2026-05-13 21:15:00,LONG,79392.57534,False,79392.57534,2026-05-13 22:15:00,79240.6487,-0.003060359178324134,12,TIME
2026-05-13 22:20:00,LONG,79312.95942,False,79312.95942,2026-05-13 23:30:00,79258.54512,-0.0014820909390944525,14,TIME
2026-05-13 23:35:00,LONG,79255.44792,False,79255.44792,2026-05-14 00:15:00,79503.72881985073,0.003427714285714357,8,TP
2026-05-14 00:20:00,LONG,79480.69296,False,79480.69296,2026-05-14 01:30:00,79445.50772,-0.0011691717576878765,14,TIME
2026-05-14 03:10:00,LONG,79254.24767999999,True,79118.3832554057,2026-05-14 04:45:00,79366.23477735047,0.008798000000000193,19,TP
2026-05-14 04:50:00,LONG,79426.28207999999,False,79426.28207999999,2026-05-14 05:30:00,79675.09814632927,0.0034277142857142883,8,TP
2026-05-14 07:20:00,LONG,79737.74436,False,79737.74436,2026-05-14 08:20:00,79697.95722,-0.0012415392697184987,12,TIME
2026-05-14 10:10:00,LONG,79600.61693999999,False,79600.61693999999,2026-05-14 11:10:00,79444.30796,-0.0031247127006929446,12,TIME
2026-05-14 11:15:00,LONG,79491.99522,True,79355.72322819429,2026-05-14 12:15:00,79256.1456,-0.004364478129999682,12,TIME
2026-05-14 12:20:00,LONG,79365.87,False,79365.87,2026-05-14 12:35:00,79614.49681542,0.003427714285714414,3,TP
2026-05-14 16:05:00,SHORT,81408.41506,False,81408.41506,2026-05-14 16:50:00,81153.28108720196,0.003429428571428533,9,TP
2026-05-14 16:55:00,SHORT,81822.93214,False,81822.93214,2026-05-14 17:15:00,81566.49907067325,0.0034294285714284887,4,TP
2026-05-14 17:20:00,SHORT,81378.32108000001,True,81517.82677328,2026-05-14 18:20:00,81904.37759999999,-0.014825753139681166,12,SL
2026-05-15 13:30:00,LONG,79699.9368,True,79563.30833691428,2026-05-15 13:40:00,79100.87666,-0.018036366834675955,2,SL
2026-05-15 15:45:00,LONG,79112.71938,False,79112.71938,2026-05-15 17:25:00,79360.55315891108,0.003427714285714303,20,TP
2026-05-16 04:05:00,LONG,79102.91742,True,78967.31241870856,2026-05-16 05:30:00,78934.21,-0.0018575742175333675,17,TIME
2026-05-16 05:35:00,LONG,78988.19447999999,True,78852.78614660571,2026-05-16 06:35:00,78757.64532,-0.0042196879497252955,12,TIME
2026-05-16 06:55:00,LONG,78625.92203999999,True,78491.13474507426,2026-05-16 07:10:00,78138.53567445844,-0.01407664567830496,3,SL
2026-05-17 01:45:00,LONG,77782.85346,False,77782.85346,2026-05-17 03:50:00,78026.52121227236,0.0034277142857143212,25,TP
2026-05-17 06:30:00,LONG,78078.91266,False,78078.91266,2026-05-17 08:15:00,78029.69094,-0.0014105270221552585,21,TIME
2026-05-17 11:35:00,LONG,78337.96446,False,78337.96446,2026-05-17 12:55:00,78311.23462,-0.001038700920808392,16,TIME
2026-05-17 13:00:00,LONG,78299.05668,False,78299.05668,2026-05-17 14:00:00,78107.47538,-0.0037458720542749503,12,TIME
2026-05-17 21:05:00,LONG,78238.74462,False,78238.74462,2026-05-17 22:05:00,78064.28401999999,-0.0034669489369203678,12,TIME
2026-05-17 22:10:00,LONG,78103.21752,True,77969.32628996571,2026-05-17 23:10:00,77801.9365,-0.007040601628768686,12,TIME
2026-05-17 23:15:00,LONG,77837.46437999999,True,77704.02872677713,2026-05-17 23:40:00,77200.5568,-0.020038062672944664,5,SL
2026-05-18 01:45:00,LONG,76859.3688,False,76859.3688,2026-05-18 01:55:00,77100.1435826608,0.0034277142857144557,2,TP
2026-05-18 02:00:00,LONG,77143.02552000001,True,77010.78033339429,2026-05-18 02:50:00,76664.83133340663,-0.014076645678305336,10,SL
2026-05-18 06:15:00,LONG,76805.55803999999,False,76805.55803999999,2026-05-18 07:15:00,76784.64,-0.0009501650602307041,12,TIME
2026-05-18 07:20:00,LONG,76804.95792,False,76804.95792,2026-05-18 08:00:00,77045.56225151074,0.0034277142857145892,8,TP
2026-05-18 13:50:00,LONG,77023.60164,True,76891.56118004571,2026-05-18 14:15:00,76546.14773815397,-0.014076645678305357,5,SL
2026-05-18 16:20:00,LONG,76476.89232,True,76345.78907602286,2026-05-18 17:05:00,76584.95498460169,0.008798000000000234,9,TP
2026-05-18 17:10:00,LONG,76543.8057,False,76543.8057,2026-05-18 18:10:00,76397.81738000001,-0.0030521810335256824,12,TIME
2026-05-19 14:25:00,LONG,76438.08456,True,76307.04784361142,2026-05-19 15:10:00,76546.09238882284,0.008798000000000068,9,TP
2026-05-19 15:15:00,LONG,76537.8045,False,76537.8045,2026-05-19 16:15:00,76463.90416,-0.0018414090458674405,12,TIME
2026-05-21 00:40:00,SHORT,77684.46,True,77817.63336,2026-05-21 01:40:00,77871.97128,-0.0026948177548119217,12,TIME
2026-05-21 18:00:00,SHORT,77651.36662,False,77651.36662,2026-05-21 18:50:00,77408.00723701293,0.0034294285714283404,10,TP
2026-05-21 19:15:00,SHORT,77549.48700000001,False,77549.48700000001,2026-05-21 20:15:00,77701.93728,-0.0031275151447117885,12,TIME
2026-05-22 03:45:00,SHORT,77732.35042,False,77732.35042,2026-05-22 05:55:00,77488.73723378373,0.003429428571428453,26,TP
2026-05-22 15:05:00,LONG,76864.56984,True,76732.80200598856,2026-05-22 15:30:00,76973.18029707266,0.008798000000000115,5,TP
2026-05-22 19:35:00,LONG,75798.55668,False,75798.55668,2026-05-22 21:30:00,76036.00829189288,0.0034277142857144175,23,TP
2026-05-23 04:50:00,LONG,75497.19642000001,False,75497.19642000001,2026-05-23 05:50:00,75420.01298000001,-0.0019144309475613102,12,TIME
2026-05-23 05:55:00,LONG,75463.08959999999,False,75463.08959999999,2026-05-23 06:55:00,75352.9264,-0.002476922887079806,12,TIME
2026-05-23 07:00:00,LONG,75344.86596,True,75215.70333264,2026-05-23 07:50:00,74466.20378000001,-0.03049400561709859,10,SL
