open_ts,side,qty_l1,open_px,exit_ts,reason,exit_px,pnl_usd,price_pct,source,win,adx,bb_width,atr_pct,ema20_slope_pct,regime
2026-05-14 05:24:03,LONG,0.045,79544.7,2026-05-14 14:46:04,TP,80377.12,136.7,,v1,True,34.80564921706465,0.8673889120704541,0.2678791391667903,-0.1450322096769118,MIXED
2026-05-14 16:11:03,SHORT,0.063,81458.4,2026-05-15 00:08:03,TRAIL,81170.02,61.57,0.55,v1,True,47.28039430857789,3.6674435856504144,0.40227834159279224,1.0234224249869626,BREAKOUT
2026-05-15 02:00:03,LONG,0.064,81088.1,2026-05-17 23:42:03,SL,77033.7,-700.97,-4.73,v1,False,14.46483594761023,0.7850345418112253,0.3012457175204726,-0.06483085733968826,RANGE
2026-05-17 23:43:03,LONG,0.058,77103.8,2026-05-18 12:46:03,TP,77718.52,100.42,1.0,v1,True,42.97820301145057,1.447472789130526,0.33156525664555114,-0.21272095267745278,BREAKOUT
2026-05-18 12:46:03,SHORT,0.059,77724.0,2026-05-18 13:37:03,TP,76946.76,44.04,1.0,v1,True,27.747747606287184,1.5236079386489174,0.2697720707666573,0.23488537978871377,MIXED
2026-05-18 13:37:03,SHORT,0.06,76853.2,2026-05-18 14:39:03,TRAIL,76428.15,23.67,0.55,v1,True,31.063539256923942,1.631675881828098,0.3232867282486324,0.2971716660531235,BREAKOUT
2026-05-18 14:40:03,LONG,0.061,76493.5,2026-05-18 20:29:03,TP,77103.38,104.76,1.0,v1,True,27.332610800783268,1.8813615723529558,0.43530809034735535,0.08235224279728211,BREAKOUT
2026-05-19 14:31:03,LONG,0.062,76400.0,2026-05-19 17:31:04,TRAIL,76827.04,24.57,0.56,v1,True,21.47307718518238,0.8146848887209908,0.3212014847543504,-0.19775132880419308,BREAKOUT
2026-05-20 01:51:03,LONG,0.062,76831.3,2026-05-20 07:48:03,TRAIL,77273.64,25.51,0.58,v1,True,25.134610892234182,0.7223943565037998,0.2509895118718167,-0.0910094655097796,MIXED
2026-05-20 08:50:04,SHORT,0.062,77444.2,2026-05-20 13:47:03,TRAIL,77121.54,18.09,0.42,v1,True,73.56182723558996,1.2320617677707322,0.16447113521890552,0.42449416948473034,TREND
2026-05-20 13:48:03,LONG,0.063,77240.0,2026-05-20 15:19:04,TRAIL,77563.26,65.67,0.62,v1,True,20.07185242447119,0.6832586969841827,0.2164089879978237,-0.015231899337402852,MIXED
2026-05-20 15:20:04,LONG,0.063,77575.0,2026-05-21 01:19:03,TRAIL,77961.86,103.82,0.79,v1,True,18.92970001778459,0.7339287817478641,0.33853892640194566,-0.03949015804552079,BREAKOUT
2026-05-21 11:10:04,LONG,0.065,77203.6,2026-05-21 17:21:05,TP,77820.2,111.64,1.0,v1,True,16.862450789319453,1.2991166735576658,0.25302986018561,-0.2281596967608514,RANGE
2026-05-21 17:41:04,SHORT,0.065,77907.4,2026-05-21 19:02:04,TRAIL,77400.19,30.96,0.65,v1,True,32.72847628988843,1.467882548311499,0.3331484445396942,0.14628095731834054,BREAKOUT
2026-05-21 23:26:04,LONG,0.066,77604.4,2026-05-22 18:46:04,SL,76291.5,-209.42,-1.41,v1,False,27.669415902606634,0.4861376829095274,0.14758307748401692,0.09827298522856372,MIXED
2026-05-22 19:40:04,LONG,0.065,75783.4,2026-05-23 07:51:03,SL,74501.31,-202.15,-1.41,v1,False,29.09568544043994,1.5859106269364396,0.3222572598839425,-0.4553191917767385,BREAKOUT
2026-05-23 07:52:03,LONG,0.063,74442.5,2026-05-23 13:55:04,TP,75186.93,45.0,1.0,v1,True,36.76689387331546,1.2019165414256079,0.21140330762700932,-0.2860112468848922,MIXED
2026-05-23 19:25:05,SHORT,0.08,75870.7,2026-05-23 20:39:04,SL,76630.83,-119.46,-0.8,PT,False,82.35803386210851,1.7767632089483738,0.2573454317627128,-0.5582288070545646,TREND
