entry_ts,side,entry_px,exit_ts,exit_px_partial,exit_px_final,pnl_pct_pos,outcome,cum_ret,peak,dd
2021-05-08 05:00:00,SHORT,58020.773524,2021-05-08 05:20:00,57924.072234793326,58032.3776787048,0.0016000000000000797,PARTIAL_THEN_BE,0.0016000000000000797,0.0016000000000000797,0.0
2021-05-08 08:30:00,SHORT,59308.83586,2021-05-08 08:35:00,59209.98780023333,59122.96196841476,0.006601000000000047,PARTIAL_THEN_FULL,0.008201000000000127,0.008201000000000127,0.0
2021-05-08 09:25:00,SHORT,59144.1688,2021-05-08 09:30:00,59045.59518533333,58958.810974980806,0.006600999999999852,PARTIAL_THEN_FULL,0.014801999999999978,0.014801999999999978,0.0
2021-05-08 10:00:00,SHORT,58779.871674,2021-05-08 10:15:00,58681.90522121,58791.6276483348,0.001600000000000169,PARTIAL_THEN_BE,0.016402000000000146,0.016402000000000146,0.0
2021-05-08 13:35:00,SHORT,59342.409144,2021-05-08 13:50:00,59243.50512875999,59354.2776258288,0.0016000000000000705,PARTIAL_THEN_BE,0.018002000000000216,0.018002000000000216,0.0
2021-05-08 14:35:00,SHORT,59016.84427,2021-05-08 14:55:00,58918.482862883335,59028.647638854,0.001599999999999956,PARTIAL_THEN_BE,0.01960200000000017,0.01960200000000017,0.0
2021-05-09 00:35:00,SHORT,59024.662706,2021-05-09 00:45:00,58926.28826815667,58839.6794130794,0.006600999999999947,PARTIAL_THEN_FULL,0.02620300000000012,0.02620300000000012,0.0
2021-05-09 01:40:00,SHORT,59156.276378,2021-05-09 02:20:00,59057.682584036666,58970.88060783135,0.006601000000000094,PARTIAL_THEN_FULL,0.032804000000000215,0.032804000000000215,0.0
2021-05-10 03:40:00,SHORT,59401.52731800001,2021-05-10 04:05:00,0.0,59611.45231554182,-0.011202000000000066,SL,0.02160200000000015,0.032804000000000215,0.011202000000000066
2021-05-10 17:55:00,LONG,57065.160749999995,2021-05-10 18:00:00,57160.26935125,56863.5685587905,-0.003398999999999761,PARTIAL_THEN_BE,0.01820300000000039,0.032804000000000215,0.014600999999999826
