year,n,win_rate,total_pct,avg_win,avg_loss
2021,2670,57.75,-406.0,0.45,-0.97
2022,3788,58.82,-615.63,0.43,-1.02
2023,1975,60.46,-350.9,0.42,-1.09
2024,2962,62.46,-403.09,0.43,-1.07
2025,2816,61.08,-459.51,0.43,-1.09
2026,1155,62.25,-156.97,0.42,-1.06
