month,n,wr_pct,start_bal,end_bal,ret_pct,within_dd
2019-09,16,100.0,5000.0,5589.328381567984,11.786567631359679,0.0
2019-10,20,100.0,5589.328381567984,6506.115118815413,16.40244900032588,0.0
2019-11,29,89.65517241379311,6506.115118815413,6498.299413943872,-0.12012859792378539,10.12733155343132
2019-12,21,85.71428571428571,6498.299413943872,6208.15549063512,-4.464920817378304,7.627617057863613
2020-01,51,96.07843137254902,6208.15549063512,7434.227320749088,19.749373738519793,4.674962750716309
2020-02,55,96.36363636363636,7434.227320749088,8844.25468330991,18.966696897005075,4.97950441287303
2020-03,30,90.0,8844.25468330991,9211.363194013558,4.150813424633992,9.592127163160404
2020-04,51,92.15686274509804,9211.363194013558,10308.455643004878,11.91020727208234,9.085339711216346
2020-05,55,96.36363636363636,10308.455643004878,13517.184754230191,31.12715640778545,4.674962750716297
2020-06,31,83.87096774193549,13517.184754230191,12179.042698057525,-9.899561783779687,11.70302137425663
2020-07,17,100.0,12179.042698057525,13219.160493095393,8.540226196955203,0.0
2020-08,42,95.23809523809523,13219.160493095393,14313.555155446693,8.278851466573256,5.881847536523438
2020-09,35,91.42857142857143,14313.555155446693,14720.97637745054,2.8464013138539856,8.695312365703781
2020-10,29,93.10344827586206,14720.97637745054,15692.689461472813,6.6008738762106445,5.781376042179147
2020-11,56,91.07142857142857,15692.689461472813,17047.17109621904,8.631290627853305,11.759969411339645
2020-12,58,94.82758620689656,17047.17109621904,21198.088594609333,24.349597214466524,6.829273224439341
2021-01,63,95.23809523809523,21198.088594609333,28927.413577606992,36.46236757857133,8.695312365703762
2021-02,65,96.92307692307692,28927.413577606992,37302.76791319916,28.953000976470356,4.6749627507162925
2021-03,64,96.875,37302.76791319916,49971.43735186978,33.961741037956486,4.674962750716313
2021-04,70,95.71428571428572,49971.43735186978,61517.989220208045,23.106303280880567,5.5502889640444755
2021-05,75,97.33333333333334,61517.989220208045,81624.26279268773,32.683567566728875,9.085339711216319
2021-06,43,95.34883720930233,81624.26279268773,90560.65043392764,10.948200125172193,4.650820512820538
2021-07,47,97.87234042553192,90560.65043392764,109688.31805280935,21.121389397304636,4.674962750716335
2021-08,54,96.29629629629629,109688.31805280935,146839.27133631206,33.86956235906216,6.290951620521505
2021-09,57,98.24561403508771,146839.27133631206,196704.3979878006,33.958985357044156,4.674962750716303
2021-10,58,96.55172413793103,196704.3979878006,248656.40936034734,26.411209868204754,7.793557384693907
2021-11,58,96.55172413793103,248656.40936034734,310404.7032369024,24.83277790240701,8.695312365703757
2021-12,49,89.79591836734694,310404.7032369024,309416.9183243375,-0.31822485363922626,16.419838340440027
2022-01,33,100.0,309416.9183243375,370067.1912909515,19.60147276208053,0.0
2022-02,38,100.0,370067.1912909515,498883.07708135946,34.808783059379955,0.0
2022-03,69,97.10144927536231,498883.07708135946,752881.8462931729,50.91348672273974,4.674962750716297
2022-04,40,95.0,752881.8462931729,869019.3989769948,15.425734231158206,8.00083828867599
2022-05,22,100.0,869019.3989769948,962451.2956465035,10.751416686381932,0.0
2022-06,28,96.42857142857143,962451.2956465035,1102938.7885059773,14.596841782534531,4.650820512820535
2022-07,54,90.74074074074075,1102938.7885059773,1161160.12790452,5.278746201084128,7.641139976363457
2022-08,42,90.47619047619048,1161160.12790452,1215870.816915975,4.711726461895349,6.8828963763280555
