feature,bucket,train_n,oos_n,train_mean_bps,oos_mean_bps,train_excess_bps,oos_excess_bps,train_wr_pct,oos_wr_pct,train_sharpe_ish,oos_sharpe_ish,train_range_low,train_range_high
rsi_7,0,18301,16499,2.137937099184441,1.6298924099831555,1.096121308183915,0.07214840826098023,55.155455986011695,53.48809018728408,0.015547528221456615,0.015221534799848854,0.0,30.76923076923184
rsi_7,1,18301,16541,0.4029378719097971,2.3006618180303695,-0.638877919090729,0.7429178163081942,53.23206382164909,52.82026479656611,0.0032290123811650625,0.022826760561311225,30.76923076923184,44.16996849199683
rsi_7,2,18300,16202,1.0612973967511454,2.9662441235064354,0.019481605750619302,1.40850012178426,50.30054644808744,52.35156153561289,0.008803379862638674,0.029510601991174716,44.16996849199683,56.04993201011607
rsi_7,3,18301,17060,-2.2408735671490696,0.7307049310111906,-3.2826893581495957,-0.8270390707109847,46.21605376755368,49.41969519343494,-0.017858178188416594,0.007436196902821841,56.04993201011607,69.3732027185149
rsi_7,4,18301,17210,3.847781218816768,0.2683650003118927,2.805965427816242,-1.2893790014102826,46.39637178296268,48.169668797210925,0.028500758636913006,0.002593113793019454,69.3732027185149,99.99164438502504
rsi_14,0,18363,16477,1.848862027581658,-0.12252302801965813,0.8355651349396691,-1.7191806586340586,56.276207591352176,53.347089882867024,0.0130822468738121,-0.001145880251239668,0.6028636021103893,37.00816514256555
rsi_14,1,18362,16566,2.8086193814514413,2.9351387436070397,1.7953224888094523,1.3384811129926393,54.563773009476094,53.54340214897984,0.022567802908176605,0.02902508424860507,37.00816514256555,46.1725565081746
rsi_14,2,18363,16218,-0.30975227186791904,3.3138555099935028,-1.323049164509908,1.7171978793791023,49.83935086859446,52.13343198914786,-0.0026165651439253395,0.03345995914748149,46.1725565081746,54.05961504687044
rsi_14,3,18362,16984,-2.4499060496856244,0.6658628461504974,-3.463202942327613,-0.9307947844639031,45.33275242348328,49.205134243994344,-0.020665519822343922,0.006742493902813311,54.05961504687044,63.40304215720421
rsi_14,4,18363,17583,3.168570547409662,1.2443177392126585,2.155273654767673,-0.35233989140174193,45.292163589827375,48.052095774327476,0.023176153183166397,0.011959672573170389,63.40304215720421,98.8872936109117
rsi_21,0,18362,16643,1.4855329749985726,0.3228382574459898,0.5111786443114608,-1.2738193731684107,56.807537305304436,53.71026858138557,0.010150986517960803,0.00304637724178282,1.7638666724309076,39.47777383778127
rsi_21,1,18361,16395,3.926990479539997,2.3374140552905525,2.952636148852885,0.740756424676152,55.394586351505914,52.99176578225069,0.033020317672479586,0.022595691599940834,39.47777383778127,46.98781380892566
rsi_21,2,18361,15796,-0.7815780010411048,1.9766384946828526,-1.7559323317282165,0.3799808640684521,49.22934480692773,51.20283616105343,-0.0067654631983838755,0.019626640054651447,46.98781380892566,53.191583085291875
rsi_21,3,18361,16841,-2.8564330528012967,1.7939787449514937,-3.8307873834884085,0.1973211143370932,44.85049833887043,49.99703105516299,-0.023554874669249187,0.018664356563844242,53.191583085291875,60.74771452033377
rsi_21,4,18362,18162,3.097115799762243,1.5818030787864126,2.1227614690751313,-0.014854551827987894,45.00599063282867,48.408765554454355,0.02277921032063697,0.015271602425345275,60.74771452033377,96.79341743049883
macd_hist_pct,0,18366,14383,6.164369562894198,-0.13637572342230755,5.061950781416384,-1.733033354036708,54.51377545464445,51.82507126468748,0.03974257886157392,-0.0011342744915751372,-0.020806144199140526,-0.0005922150969905828
macd_hist_pct,1,18365,18862,-0.616049241648361,2.491842592789349,-1.718468023126174,0.8951849621749484,51.364007623196294,52.475877425511605,-0.005532888136391233,0.02692173326606544,-0.0005922150969905828,-0.00014056283629743267
macd_hist_pct,2,18366,17624,0.23919443213676153,2.510998905288074,-0.8632243493410515,0.9143412746736737,50.22323859305238,51.15183840217885,0.0023777303559099545,0.029570874335739142,-0.00014056283629743267,0.00014580259768119425
macd_hist_pct,3,18365,18122,1.004735042825523,0.9421290691855106,-0.09768373865228996,-0.6545285614288898,48.25483256193847,50.104844939852114,0.008802270003538512,0.010074100941433075,0.00014580259768119425,0.0005869731823389812
macd_hist_pct,4,18366,14846,-1.2802547754444387,1.851827773409201,-2.382673556922252,0.25517014279480055,46.95633235326146,50.383941802505724,-0.008345139253311745,0.015285935703162624,0.0005869731823389812,0.013997083577153102
price_vs_ema_20,0,18366,15000,3.031917361457712,3.045082587716713,1.9294985799798992,1.4484249571023124,56.44125013612109,55.37333333333333,0.018381643651123377,0.024444724124953812,-0.15116477820877453,-0.0031260581154604326
price_vs_ema_20,1,18365,17747,1.1257940362956154,0.20871844635663925,0.023375254817802338,-1.3879391842577613,55.44241764225429,52.19473713867132,0.010451839871134476,0.002259502843136356,-0.0031260581154604326,-0.0006766323156277051
price_vs_ema_20,2,18366,16183,-0.1407728979099382,1.834942337612408,-1.2431916793877513,0.23828470699800763,49.75498203201568,51.6282518692455,-0.001593816429018983,0.022283189652640277,-0.0006766323156277051,0.0007601223700568884
price_vs_ema_20,3,18365,18901,-0.41865790394060437,0.4027916585439146,-1.5210766854184175,-1.1938659720704858,44.20909338415464,48.6164753187662,-0.003815619643214741,0.00432804022167231,0.0007601223700568884,0.003170693374463556
price_vs_ema_20,4,18366,16006,1.913731763983798,2.947056335552754,0.811312982505985,1.3503987049383535,45.46444517042361,48.819192802698986,0.0122217242918844,0.02541114778979063,0.003170693374463556,0.07472391909517793
price_vs_ema_50,0,18366,14858,1.5799249120912522,3.4898022969890237,0.47750613061343916,1.8931446663746232,55.92943482522051,55.41122627540719,0.009542115987812228,0.0273172272168199,-0.17022995914777347,-0.005477100797569981
price_vs_ema_50,1,18365,17207,0.3933446494461099,0.7001477252821661,-0.7090741320317031,-0.8965099053322344,54.21726109447318,52.85058406462486,0.003744712282093002,0.007384777140445078,-0.005477100797569981,-0.0012154744570978088
price_vs_ema_50,2,18366,16010,0.09935091156350274,0.3359661639586482,-1.0030678699143103,-1.2606914666557523,50.29946640531416,51.292941911305434,0.0010901111120377575,0.003981973392249989,-0.0012154744570978088,0.0012306665169147509
price_vs_ema_50,3,18365,20468,2.712830415931745,1.424902839357032,1.6104116344539319,-0.17175479125736848,45.33623740811326,49.120578463943716,0.023351957299812903,0.015755958980337745,0.0012306665169147509,0.005742641001520696
price_vs_ema_50,4,18366,15294,0.7266920947749705,2.315701042192275,-0.3757266867028425,0.7190434115778743,45.52978329521943,47.95344579573689,0.004799956432312908,0.02053875706911962,0.005742641001520696,0.09998449497927411
price_vs_ema_200,0,18366,13586,0.7939578124956628,4.546879891163013,-0.30846096898215025,2.950222260548613,53.81139061308941,55.57927278080377,0.004675260519243299,0.03423307787998316,-0.1812897325587083,-0.013237680486125503
price_vs_ema_200,1,18365,18015,0.5598737002124847,-0.5965351392345728,-0.5425450812653283,-2.1931927698489733,53.683637353661865,52.41742991951151,0.005187848058780112,-0.006195805333237918,-0.013237680486125503,-0.002886358191674265
price_vs_ema_200,2,18366,16170,0.9100944029917828,2.3511387529052947,-0.19232437848603023,0.7544811222908943,49.36839812697376,51.44712430426716,0.009934340553801628,0.02675731051744119,-0.002886358191674265,0.003073612752012423
price_vs_ema_200,3,18365,21339,0.3531956649033756,1.869673464440091,-0.7492231165744374,0.2730158338256905,47.35093928668663,49.6743052626646,0.0030883149274677454,0.02055138481140884,0.003073612752012423,0.01402227965118684
