year,n,win_rate,total_pct,avg_win,avg_loss
2021,1861,58.25,-261.92,0.45,-0.97
2022,2857,56.88,-521.14,0.44,-1.0
2023,1370,60.0,-255.14,0.42,-1.09
2024,2181,61.85,-315.76,0.43,-1.07
2025,2164,61.14,-351.18,0.43,-1.09
2026,870,60.8,-130.37,0.43,-1.05
