cycle_day,side,first_entry,avg_entry,exit_px,qty,pnl_usd,pnl_pct,legs,exit_reason,held_overnight,open_time,close_time
2026-03-30,SHORT,67083.225,67367.77638613031,66520.1,0.140440320329001,115.31110154254301,0.8394423494100023,2,EOD,False,2026-03-30 05:35,2026-03-30 20:00
2026-04-01,SHORT,68582.85,68582.85,68022.0,0.07093327746456393,37.85291930612326,0.81777004017769,1,EOD,False,2026-04-01 09:05,2026-04-01 20:00
2026-04-02,LONG,67551.783725,67263.17211546603,66814.8,0.14553014151159693,-69.14108433325315,-1.0909907693928855,2,EOD,False,2026-04-02 01:15,2026-04-02 20:00
2026-04-06,SHORT,69090.723,69383.64680568888,69648.6,0.13878711368017574,-40.63862036512935,-0.8074557274498462,2,EOD,False,2026-04-06 14:35,2026-04-06 20:00
2026-04-07,LONG,68244.55687500001,68244.55687500001,69210.72,0.07001307331324631,65.70578761781057,1.4157365352516882,1,TP,False,2026-04-07 16:00,2026-04-07 20:00
2026-04-09,LONG,70689.2679,70689.2679,71693.28495,0.06843915230476681,66.7514247423635,1.4203245836699185,1,TP,False,2026-04-09 13:50,2026-04-09 15:30
2026-04-10,SHORT,73109.71800000001,73109.71800000001,73215.0,0.06710116515051644,-9.029669591974157,-0.14400547954513954,1,EOD,False,2026-04-10 14:30,2026-04-10 20:00
2026-04-11,SHORT,73431.6375,73431.6375,73493.1,0.06638849654965243,-6.032041535492896,-0.08370029879833929,1,EOD,False,2026-04-11 19:30,2026-04-11 20:00
2026-04-12,LONG,71399.94552500002,71095.33562511248,71043.5,0.13731379730193322,-11.019847623161862,-0.49922380525516674,2,EOD,False,2026-04-12 11:30,2026-04-12 20:00
2026-04-19,LONG,75414.748975,75092.88180284087,74701.9,0.129645003405992,-54.56272839296005,-0.9452381459710391,2,EOD,False,2026-04-19 03:00,2026-04-19 20:00
2026-04-20,SHORT,76180.95,76180.95,76199.9,0.06316055947402184,-3.1220239283783364,-0.02487498515049147,1,EOD,False,2026-04-20 19:45,2026-04-20 20:00
2026-04-21,SHORT,76511.86725,76511.86725,76320.587581875,0.06275283043496778,10.087607423015358,0.24999999999998357,1,BE,False,2026-04-21 08:45,2026-04-21 14:35
2026-04-27,LONG,77299.32,76969.31171647283,76903.0,0.1251379711517868,-12.147507821197047,-0.5127082618579415,2,EOD,False,2026-04-27 15:00,2026-04-27 20:00
2026-04-28,LONG,76419.1,76093.31570320706,76402.6,0.12623296164281655,35.18406218370491,-0.02159146077355123,2,EOD,False,2026-04-28 13:35,2026-04-28 20:00
2026-04-29,LONG,75654.50890000002,75333.4162937741,75593.3,0.12868458253568024,29.55194934230717,-0.08090581895247029,2,EOD,False,2026-04-29 18:05,2026-04-29 20:00
2026-05-04,SHORT,79409.042775,79746.72016281719,79210.5201680625,0.12126610882789583,61.18066629383318,0.24999999999998357,2,BE,False,2026-05-04 05:10,2026-05-04 14:20
