entry_ts,side,l1_px,l2_filled,avg_entry,exit_ts,exit_px,pnl_pct_pos,bars_held,reason
2026-05-13 21:15:00,LONG,79392.57534,False,79392.57534,2026-05-14 01:00:00,79641.28581434845,0.003427714285714486,45,TP
2026-05-14 01:05:00,LONG,79586.21406,False,79586.21406,2026-05-14 01:35:00,79358.10935900883,-0.004285028571428617,6,SL
2026-05-14 03:40:00,LONG,79182.43332000001,True,79046.69200573716,2026-05-14 04:15:00,79294.3189428938,0.008798000000000217,7,TP
2026-05-14 04:20:00,LONG,79298.3565,False,79298.3565,2026-05-14 05:25:00,79546.77181812901,0.0034277142857145563,13,TP
2026-05-14 05:30:00,LONG,79659.52872,False,79659.52872,2026-05-14 05:50:00,79909.07547030352,0.003427714285714252,4,TP
2026-05-14 07:20:00,LONG,79737.74436,False,79737.74436,2026-05-14 10:05:00,79509.20535296499,-0.0042850285714286255,33,SL
2026-05-14 12:10:00,LONG,79343.96562,False,79343.96562,2026-05-14 12:35:00,79592.52381629894,0.0034277142857145797,5,TP
2026-05-14 16:05:00,SHORT,81408.41506,False,81408.41506,2026-05-14 16:50:00,81153.28108720196,0.003429428571428533,9,TP
2026-05-14 16:55:00,SHORT,81822.93214,False,81822.93214,2026-05-14 17:15:00,81566.49907067325,0.0034294285714284887,4,TP
2026-05-14 17:20:00,SHORT,81378.32108000001,True,81517.82677328,2026-05-14 17:45:00,81751.55468620434,-0.009201599999999682,5,SL
2026-05-15 13:30:00,LONG,79699.9368,True,79563.30833691428,2026-05-15 13:35:00,79252.74628,-0.012309997864814355,1,SL
2026-05-15 15:40:00,LONG,79073.01144,False,79073.01144,2026-05-15 16:30:00,79320.72082717106,0.003427714285714498,10,TP
2026-05-16 04:05:00,LONG,79102.91742,True,78967.31241870856,2026-05-16 06:25:00,78740.98157234155,-0.009198400000000117,28,SL
2026-05-16 08:30:00,LONG,78432.98346,False,78432.98346,2026-05-16 09:10:00,78208.18407167251,-0.004285028571428609,8,SL
2026-05-17 01:45:00,LONG,77782.85346,False,77782.85346,2026-05-17 03:50:00,78026.52121227236,0.0034277142857143212,25,TP
2026-05-17 06:30:00,LONG,78078.91266,False,78078.91266,2026-05-17 10:10:00,78323.50786705957,0.0034277142857143976,44,TP
2026-05-17 11:35:00,LONG,78337.96446,False,78337.96446,2026-05-17 13:15:00,78113.43740879571,-0.004285028571428631,20,SL
2026-05-17 21:05:00,LONG,78238.74462,False,78238.74462,2026-05-17 22:00:00,78014.50194608647,-0.004285028571428411,11,SL
2026-05-18 00:05:00,LONG,76995.49602,False,76995.49602,2026-05-18 00:15:00,77236.69724386533,0.0034277142857143863,2,TP
2026-05-18 00:20:00,LONG,77171.43119999999,True,77039.13731794283,2026-05-18 01:20:00,76818.33287850463,-0.009198400000000058,12,SL
2026-05-18 06:15:00,LONG,76805.55803999999,False,76805.55803999999,2026-05-18 08:00:00,77046.16425148664,0.0034277142857144687,21,TP
2026-05-18 13:50:00,LONG,77023.60164,True,76891.56118004571,2026-05-18 14:10:00,76652.1665,-0.009940219253130381,4,SL
2026-05-18 16:15:00,LONG,76595.01594,False,76595.01594,2026-05-18 16:20:00,76375.48441164715,-0.004285028571428824,1,SL
2026-05-19 14:25:00,LONG,76438.08456,False,76438.08456,2026-05-19 14:30:00,76219.00281790644,-0.004285028571428498,1,SL
2026-05-21 00:40:00,SHORT,77684.46,True,77817.63336,2026-05-21 00:50:00,78040.7520783698,-0.009201599999999966,2,SL
2026-05-21 18:00:00,SHORT,77651.36662,False,77651.36662,2026-05-21 18:20:00,77874.00861837286,-0.0042863999999998605,4,SL
2026-05-22 03:45:00,SHORT,77732.35042,False,77732.35042,2026-05-22 05:55:00,77488.73723378373,0.003429428571428453,26,TP
2026-05-22 15:05:00,LONG,76864.56984,True,76732.80200598856,2026-05-22 15:25:00,76512.87556439913,-0.00919839999999992,4,SL
2026-05-22 19:35:00,LONG,75798.55668,False,75798.55668,2026-05-22 21:30:00,76036.00829189288,0.0034277142857144175,23,TP
2026-05-23 04:50:00,LONG,75497.19642000001,True,75367.77265470858,2026-05-23 07:25:00,75151.75856924383,-0.009198399999999933,31,SL
