entry_ts,side,entry_px,tp1_px,exit_ts,exit_px,pnl_pct_pos,bars_held,reason,bal_after
2026-04-09 09:15:00,SHORT,71317.63362,71198.7708973,2026-04-09 09:30:00,71284.34254862618,0.0026001999999997758,3,TP1+LOCK,5013.000999999999
2026-04-09 09:50:00,SHORT,71381.2209,71262.25219849999,2026-04-09 11:30:00,71147.14801285714,0.006818791333174029,20,TP1+TRAIL,5047.183607771993
2026-04-09 15:50:00,SHORT,72181.36084000001,72061.05857193333,2026-04-09 16:00:00,72147.66658075989,0.0026002000000003127,2,TP1+LOCK,5060.307294588923
2026-04-09 16:10:00,SHORT,72123.5724,72003.366446,2026-04-09 16:55:00,72025.83085714286,0.003932793293607255,9,TP1+TRAIL,5080.208437180674
2026-04-10 01:45:00,SHORT,72177.0617,72056.76659716667,2026-04-10 03:35:00,71921.93865428571,0.007202024764627455,22,TP1+TRAIL,5116.796224154718
2026-04-10 17:55:00,SHORT,73065.28401999999,72943.50854663333,2026-04-10 18:10:00,73031.17714541944,0.002600200000000344,3,TP1+LOCK,5130.100917696767
2026-04-10 20:35:00,SHORT,73014.3942,,2026-04-10 20:55:00,73272.42706910279,-0.011201999999999882,4,SL,5072.633527216728
2026-04-10 21:05:00,SHORT,73143.46838,73021.56259936668,2026-04-10 21:20:00,73109.32500896021,0.002600200000000202,3,TP1+LOCK,5085.823388914198
2026-04-10 21:30:00,SHORT,72974.80212,72853.17744979999,2026-04-10 22:45:00,72839.17206428571,0.004687881263958578,15,TP1+TRAIL,5109.665125090892
2026-04-11 02:35:00,SHORT,72983.90030000001,72862.26046616667,2026-04-11 04:05:00,72873.10384928572,0.004177141607783354,18,TP1+TRAIL,5131.008919886748
2026-04-11 04:15:00,SHORT,72680.76094000001,,2026-04-11 08:15:00,72735.34416000001,-0.0028529987011993614,48,TIME,5116.370158102469
2026-04-11 12:20:00,SHORT,72766.04388000001,72644.76714020001,2026-04-11 13:15:00,72601.28878285714,0.005296263319218765,11,TP1+TRAIL,5143.467801698373
2026-04-11 19:10:00,SHORT,73514.39418,,2026-04-11 19:30:00,73774.19404903213,-0.011202000000000227,4,SL,5085.850675383746
2026-04-11 19:40:00,SHORT,73635.17001999999,73512.44473663332,2026-04-11 20:40:00,73327.79476928571,0.008161449195353195,12,TP1+TRAIL,5127.358587286044
2026-04-11 22:20:00,SHORT,73395.318,73272.99247,2026-04-11 22:55:00,73351.48522071428,0.0027958223864985123,7,TP1+TRAIL,5141.693771207984
2026-04-11 23:05:00,SHORT,72938.20944,72816.64575760001,2026-04-12 01:55:00,71630.82687214286,0.028786783578076694,34,TP1+TRAIL,5289.706597024493
2026-04-12 04:50:00,LONG,71463.98994,71583.0965899,2026-04-12 06:15:00,71638.03024214286,0.005553034954156356,17,TP1+TRAIL,5319.080522655002
2026-04-12 14:00:00,LONG,70914.18,71032.3703,2026-04-12 14:20:00,70947.26382877599,0.0025998,4,TP1+LOCK,5332.9090681978005
2026-04-12 14:30:00,LONG,71018.80092000001,,2026-04-12 14:40:00,70767.9151692833,-0.01119799999999967,2,SL,5273.191152452123
2026-04-12 14:50:00,LONG,70700.83734,70818.6720689,2026-04-12 15:15:00,70733.82163731368,0.0025998000000000904,5,TP1+LOCK,5286.900394810268
2026-04-12 15:25:00,LONG,70689.43506,70807.25078510001,2026-04-12 16:20:00,70772.62478642858,0.0036652509110727434,11,TP1+TRAIL,5306.278211299098
2026-04-12 16:30:00,LONG,70909.37904,71027.5613384,2026-04-12 17:55:00,71068.17280785715,0.005259085286184234,17,TP1+TRAIL,5334.184380964542
2026-04-12 22:35:00,LONG,70848.76692000001,,2026-04-12 23:10:00,70598.4818427273,-0.0111979999999996,7,SL,5274.452184266503
2026-04-13 04:55:00,LONG,70868.47086,,2026-04-13 05:35:00,70618.11617527525,-0.011197999999999531,8,SL,5215.388868707089
2026-04-13 05:45:00,LONG,70800.05717999999,70918.05727529999,2026-04-13 06:55:00,70969.97459428573,0.005499942310507088,14,TP1+TRAIL,5244.073206611839
2026-04-13 08:20:00,LONG,70731.44346,70849.3291991,2026-04-13 09:05:00,70764.44203608886,0.0025998000000000067,9,TP1+LOCK,5257.706748134388
2026-04-13 09:15:00,LONG,70662.1296,70779.899816,2026-04-13 09:50:00,70695.09583886272,0.0025998000000000614,7,TP1+LOCK,5271.375734138188
2026-04-13 10:00:00,LONG,70764.04998,70881.99006329999,2026-04-13 12:00:00,70845.28525142858,0.0036219606166874967,24,TP1+TRAIL,5290.4684494429985
2026-04-13 20:00:00,SHORT,73216.25382,73094.2267303,2026-04-13 20:30:00,73182.07647271681,0.002600200000000197,6,TP1+LOCK,5304.224725505242
2026-04-13 20:40:00,SHORT,73155.16604000001,73033.24076326667,2026-04-13 21:00:00,73121.01720849253,0.0026002000000003075,4,TP1+LOCK,5318.016770636502
2026-04-13 21:10:00,SHORT,73165.364,,2026-04-13 22:05:00,73423.930396376,-0.011202000000000066,11,SL,5258.444346771831
