open_ts,exit_ts,side,open_px,exit_px,reason,pnl_usd,win,adx_15m,bb_width_rank,bb_squeeze,range_pos,range_pos_low,range_pos_high,today_change_pct,block_rp,block_bb,block_today,block_adx,block_cooldown,block_24h,blocked_any
2026-05-14 05:24:03,2026-05-14 14:46:04,LONG,79544.7,80377.12,TP,136.7,True,34.80564921706465,0.55,0,33.05429510248795,78713.8,81270.2,0.32350337124565826,True,False,False,False,False,False,True
2026-05-14 16:11:03,2026-05-15 00:08:03,SHORT,81458.4,81170.02,TRAIL,61.57,True,47.28039430857789,1.0,0,97.87800342727927,78820.9,81563.6,2.737103377299519,False,False,True,False,False,False,True
2026-05-15 02:00:03,2026-05-17 23:42:03,LONG,81088.1,77033.7,SL,-700.97,False,14.46483594761023,0.32,0,65.10416666666654,78869.4,81999.0,0.04848930520871735,True,False,False,False,False,False,True
2026-05-17 23:43:03,2026-05-18 12:46:03,LONG,77103.8,77718.52,TP,100.42,True,42.97820301145057,1.0,0,28.973291892746094,76666.0,78564.3,-1.2809794083040242,False,False,False,False,True,False,True
2026-05-18 12:46:03,2026-05-18 13:37:03,SHORT,77724.0,76946.76,TP,44.04,True,27.747747606287184,0.84,0,55.532968464946265,76534.5,78453.0,0.37917923709551526,True,False,False,False,False,False,True
2026-05-18 13:37:03,2026-05-18 14:39:03,SHORT,76853.2,76428.15,TRAIL,23.67,True,31.063539256923942,0.84,0,13.05707584050039,76534.5,78453.0,-0.7454436500392574,True,False,False,False,False,False,True
2026-05-18 14:40:03,2026-05-18 20:29:03,LONG,76493.5,77103.38,TP,104.76,True,27.332610800783268,0.86,0,11.16733244562831,76200.0,78453.0,-1.2099898747778577,False,False,False,False,False,False,False
2026-05-19 14:31:03,2026-05-19 17:31:04,LONG,76400.0,76827.04,TRAIL,24.57,True,21.47307718518238,0.38,0,17.213383631294178,76014.2,78453.0,-0.7317783044364022,False,False,False,False,False,False,False
2026-05-20 01:51:03,2026-05-20 07:48:03,LONG,76831.3,77273.64,TRAIL,25.51,True,25.134610892234182,0.36,0,44.35840073423976,76014.2,77757.5,0.04075520833333712,True,False,False,False,False,False,True
2026-05-20 08:50:04,2026-05-20 13:47:03,SHORT,77444.2,77121.54,TRAIL,18.09,True,73.56182723558996,0.91,0,81.21378993862218,76014.2,77757.5,0.8388020833333296,False,False,False,True,False,False,True
2026-05-20 13:48:03,2026-05-20 15:19:04,LONG,77240.0,77563.26,TRAIL,65.67,True,20.07185242447119,0.5,0,65.69899747831975,76107.1,77733.0,0.5729166666666666,True,False,False,False,False,False,True
2026-05-20 15:20:04,2026-05-21 01:19:03,LONG,77575.0,77961.86,TRAIL,103.82,True,18.92970001778459,0.51,0,83.12541399867543,76014.2,77825.8,1.0091145833333335,True,False,False,False,False,False,True
2026-05-21 11:10:04,2026-05-21 17:21:05,LONG,77203.6,77820.2,TP,111.64,True,16.862450789319453,1.0,0,56.33653335906178,76107.1,78180.0,-0.3956893470932213,True,False,False,False,False,False,True
2026-05-21 17:41:04,2026-05-21 19:02:04,SHORT,77907.4,77400.19,TRAIL,30.96,True,32.72847628988843,0.92,0,81.05604719763978,76485.0,78180.0,0.5123190079253871,False,False,False,False,False,False,False
2026-05-21 23:26:04,2026-05-22 18:46:04,LONG,77604.4,76291.5,SL,-209.42,False,27.669415902606634,0.07,1,66.80235988200607,76485.0,78180.0,0.12140321995914255,True,True,False,False,False,False,True
2026-05-22 19:40:04,2026-05-23 07:51:03,LONG,75783.4,74501.31,SL,-202.15,False,29.09568544043994,0.97,0,7.241271681455139,75620.0,77862.7,-2.3237349892958017,False,False,True,False,True,False,True
2026-05-23 07:52:03,2026-05-23 13:55:04,LONG,74442.5,75186.93,TP,45.0,True,36.76689387331546,0.69,0,11.046668061825486,74203.6,77548.5,-1.4177672483317538,False,False,False,False,True,False,True
2026-05-23 19:25:05,2026-05-23 20:39:04,SHORT,75870.7,76630.83,SL,-119.46,False,82.35803386210851,0.77,0,16.81664623755571,74203.6,77548.5,0.4735602167041099,True,False,False,True,False,False,True
